"sp_ticker","type","date","value","percentage"
CMCSA,Forward Dividend & Yield,"2023-02-15","1.16 (3.02%)","3.02"
GRMN,Forward Dividend & Yield,"2023-02-15","2.92 (2.99%)","2.99"
MTB,Forward Dividend & Yield,"2023-02-15","4.80 (2.98%)","2.98"
KO,Forward Dividend & Yield,"2023-02-15","1.76 (2.95%)","2.95"
NTAP,Forward Dividend & Yield,"2023-02-15","2.00 (2.95%)","2.95"
AEE,Forward Dividend & Yield,"2023-02-15","2.52 (2.94%)","2.94"
ARE,Forward Dividend & Yield,"2023-02-15","4.84 (2.92%)","2.92"
TAP,Forward Dividend & Yield,"2023-02-15","1.52 (2.92%)","2.92"
VLO,Forward Dividend & Yield,"2023-02-15","4.08 (2.92%)","2.92"
AMT,Forward Dividend & Yield,"2023-02-15","6.24 (2.90%)","2.90"
SRE,Forward Dividend & Yield,"2023-02-15","4.58 (2.90%)","2.90"
CMS,Forward Dividend & Yield,"2023-02-15","1.84 (2.89%)","2.89"
HPE,Forward Dividend & Yield,"2023-02-15","0.48 (2.88%)","2.88"
GIS,Forward Dividend & Yield,"2023-02-15","2.16 (2.87%)","2.87"
XEL,Forward Dividend & Yield,"2023-02-15","1.95 (2.87%)","2.87"
BAX,Forward Dividend & Yield,"2023-02-15","1.16 (2.86%)","2.86"
BK,Forward Dividend & Yield,"2023-02-15","1.48 (2.86%)","2.86"
CPB,Forward Dividend & Yield,"2023-02-15","1.48 (2.86%)","2.86"
MET,Forward Dividend & Yield,"2023-02-15","2.00 (2.83%)","2.83"
JPM,Forward Dividend & Yield,"2023-02-15","4.00 (2.81%)","2.81"
JNPR,Forward Dividend & Yield,"2023-02-15","0.88 (2.81%)","2.81"
TXN,Forward Dividend & Yield,"2023-02-15","4.96 (2.81%)","2.81"
JNJ,Forward Dividend & Yield,"2023-02-15","4.52 (2.79%)","2.79"
PAYX,Forward Dividend & Yield,"2023-02-15","3.16 (2.77%)","2.77"
PFG,Forward Dividend & Yield,"2023-02-15","2.56 (2.75%)","2.75"
SJM,Forward Dividend & Yield,"2023-02-15","4.08 (2.73%)","2.73"
BLK,Forward Dividend & Yield,"2023-02-15","20.00 (2.71%)","2.71"
CVS,Forward Dividend & Yield,"2023-02-15","2.42 (2.69%)","2.69"
MRK,Forward Dividend & Yield,"2023-02-15","2.92 (2.69%)","2.69"
STT,Forward Dividend & Yield,"2023-02-15","2.52 (2.69%)","2.69"
GS,Forward Dividend & Yield,"2023-02-15","10.00 (2.67%)","2.67"
TPR,Forward Dividend & Yield,"2023-02-15","1.20 (2.65%)","2.65"
FAST,Forward Dividend & Yield,"2023-02-15","1.40 (2.64%)","2.64"
PG,Forward Dividend & Yield,"2023-02-15","3.65 (2.62%)","2.62"
PEP,Forward Dividend & Yield,"2023-02-15","4.60 (2.61%)","2.61"
HST,Forward Dividend & Yield,"2023-02-15","0.48 (2.60%)","2.60"
AES,Forward Dividend & Yield,"2023-02-15","0.66 (2.59%)","2.59"
CNP,Forward Dividend & Yield,"2023-02-15","0.76 (2.59%)","2.59"
ATO,Forward Dividend & Yield,"2023-02-15","2.96 (2.55%)","2.55"
CL,Forward Dividend & Yield,"2023-02-15","1.88 (2.55%)","2.55"
CMI,Forward Dividend & Yield,"2023-02-15","6.28 (2.55%)","2.55"
UNP,Forward Dividend & Yield,"2023-02-15","5.20 (2.55%)","2.55"
SNA,Forward Dividend & Yield,"2023-02-15","6.48 (2.54%)","2.54"
SYF,Forward Dividend & Yield,"2023-02-15","0.92 (2.53%)","2.53"
WFC,Forward Dividend & Yield,"2023-02-15","1.20 (2.53%)","2.53"
SYY,Forward Dividend & Yield,"2023-02-15","1.96 (2.52%)","2.52"
TGT,Forward Dividend & Yield,"2023-02-15","4.32 (2.52%)","2.52"
LMT,Forward Dividend & Yield,"2023-02-15","12.00 (2.50%)","2.50"
APD,Forward Dividend & Yield,"2023-02-15","7.00 (2.49%)","2.49"
ALL,Forward Dividend & Yield,"2023-02-15","3.40 (2.49%)","2.49"
CAH,Forward Dividend & Yield,"2023-02-15","1.98 (2.48%)","2.48"
EOG,Forward Dividend & Yield,"2023-02-15","3.30 (2.48%)","2.48"
BAC,Forward Dividend & Yield,"2023-02-15","0.88 (2.47%)","2.47"
